total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
111.4483434,111.4483434,114.7638998,0.029749714,0.772850037,0.77,108.02,0.77,108.79,24,9,9,9,2,2,"2,7,8,9,10,12,14,17,22"
112.6245821,112.6245821,115.957669,0.029594666,0.464634895,0.46,108.01,0.46,108.47,24,9,9,9,2,2,"2,7,8,10,15,16,18,24,25"
110.2740811,110.2740811,113.5773652,0.029955217,2.158733845,2.16,108.02,2.16,110.18,24,9,9,9,2,2,"2,6,10,14,16,17,19,22,24"
113.328745,113.328745,116.0529429,0.024038013,0.530836105,0.53,108.01,0.53,108.54,24,9,9,9,2,2,"2,6,7,10,14,15,18,24,25"
112.43142,112.43142,115.7860498,0.02983712,0.545253038,0.55,108.04,0.55,108.59,24,9,9,9,2,2,"2,7,8,10,14,15,17,24,25"
108.7919837,108.7919837,112.0300613,0.029763936,7.22358799,7.22,108.07,7.22,115.29,24,9,9,9,2,2,"6,7,8,9,10,12,16,18,19"
110.4767263,110.4767263,113.7259614,0.029411038,4.569051981,4.57,108.04,4.57,112.61,24,9,9,9,2,2,"2,6,8,10,16,17,18,22,25"
112.7043878,112.7043878,115.9655431,0.028935477,0.536962032,0.54,108.03,0.54,108.57,24,9,9,9,2,2,"4,7,8,12,14,15,17,18,24"
113.530573,113.530573,116.7334226,0.02821134,0.716439009,0.72,108.02,0.72,108.74,24,9,9,9,2,2,"2,4,7,9,12,14,15,16,24"
110.4357896,110.4357896,113.6536792,0.029138105,4.840618134,4.84,108.03,4.84,112.87,24,9,10,10,2,2,"4,8,9,10,12,14,16,22,25"
109.8021654,109.8021654,113.0116048,0.02922929,5.403348923,5.4,108.04,5.4,113.44,24,9,9,9,2,2,"2,8,9,10,15,16,19,22,24"
111.8076848,111.8076848,115.1269545,0.029687313,1.99981904,2,108.04,2,110.04,24,9,9,9,2,2,"2,4,8,9,15,16,17,18,19"
