total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
97.07380078,97.07380078,99.76677281,0.027741492,3.312443972,3.31,180.02,3.31,183.33,24,15,15,15,2,2,"2,6,7,8,9,10,12,14,15,16,17,19,22,24,25"
97.22886304,97.22886304,99.63763834,0.024774282,2.757182837,2.76,180.02,2.76,182.78,24,15,15,15,2,2,"2,4,6,7,8,9,12,14,15,16,17,18,19,24,25"
96.99001212,96.99001212,99.70740641,0.028017259,2.389652014,2.39,180.01,2.39,182.4,24,15,15,15,2,2,"2,4,6,7,9,10,12,14,15,16,17,18,19,22,24"
99.21597406,99.21597406,101.5722139,0.023748594,2.614706039,2.61,180.02,2.61,182.63,24,15,15,15,2,2,"2,4,6,7,9,10,12,14,15,16,17,19,22,24,25"
99.21597406,99.21597406,101.5722139,0.023748594,2.632377148,2.63,180.02,2.63,182.65,24,15,15,15,2,2,"2,4,6,7,9,10,12,14,15,16,17,19,22,24,25"
98.27535908,98.27535908,101.0630478,0.0283661,3.236816883,3.24,180.01,3.24,183.25,24,15,15,15,2,2,"4,6,7,8,9,10,12,14,15,16,17,19,22,24,25"
95.31373525,95.31373525,98.09399132,0.029169522,10.25275397,10.25,180.01,10.25,190.26,24,15,15,15,2,2,"2,6,7,8,9,10,12,14,15,16,17,18,19,22,24"
95.35924585,95.35924585,97.75793697,0.025154258,4.361398935,4.36,180.01,4.36,184.37,24,15,15,15,2,2,"2,4,6,7,8,9,10,12,14,16,17,18,19,22,24"
97.1724402,97.1724402,99.67910409,0.025796037,2.929774046,2.93,180.01,2.93,182.94,24,15,15,15,2,2,"2,4,6,7,8,9,10,12,14,16,17,19,22,24,25"
97.86139515,97.86139515,100.7535184,0.02955326,8.210201025,8.21,180.01,8.21,188.22,24,15,15,15,2,2,"2,6,7,8,9,10,14,15,16,17,18,19,22,24,25"
97.93671908,97.93671908,100.8181702,0.029421561,2.418480158,2.42,180.02,2.42,182.44,24,15,15,15,2,2,"2,4,6,7,8,9,14,15,16,17,18,19,22,24,25"
94.3531039,94.3531039,96.48692126,0.022615232,2.655657053,2.66,192.01,2.66,194.67,24,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,18,19,22,24"
95.82470906,95.82470906,98.67573339,0.029752497,10.54462504,10.54,192.01,10.54,202.55,24,16,16,16,2,2,"2,4,6,7,8,9,10,14,15,16,17,18,19,22,24,25"
95.84874286,95.84874286,98.29986052,0.025572768,5.284222841,5.28,192.01,5.28,197.29,24,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,17,18,19,22,24,25"
95.77544751,95.77544751,97.71964314,0.02029952,8.559638023,8.56,192.02,8.56,200.58,24,16,16,16,2,2,"2,4,6,8,9,10,12,14,15,16,17,18,19,22,24,25"
96.20737306,96.20737306,98.99548399,0.028980221,8.323915958,8.32,192.01,8.32,200.33,24,16,16,16,2,2,"2,4,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
93.83048258,93.83048258,95.67679519,0.019677109,3.457534075,3.46,192.01,3.46,195.47,24,16,17,17,2,2,"2,4,6,7,8,9,10,12,15,16,17,18,19,22,24,25"
95.16952044,95.16952044,96.2507078,0.011360647,8.543939114,8.54,192.02,8.54,200.56,24,16,16,16,2,2,"2,4,6,7,8,10,12,14,15,16,17,18,19,22,24,25"
95.14493023,95.14493023,97.73321906,0.027203644,10.246557,10.25,192.02,10.25,202.27,24,16,16,16,2,2,"4,6,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
94.15492125,94.15492125,96.69704339,0.026999355,5.028697968,5.03,192.01,5.03,197.04,24,16,16,16,2,2,"2,6,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
93.19448148,93.19448148,95.7794756,0.027737631,4.07449913,4.07,192.02,4.07,196.09,24,16,17,17,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,18,19,22,25"
94.80584031,94.80584031,97.14509004,0.02467411,9.361807823,9.36,192.02,9.36,201.38,24,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,16,17,18,19,22,24,25"
95.87640112,95.87640112,98.48086557,0.027164812,8.227823019,8.23,192.03,8.23,200.26,24,16,16,16,2,2,"2,4,6,7,9,10,12,14,15,16,17,18,19,22,24,25"
95.14493023,95.14493023,97.73321906,0.027203644,10.26251912,10.26,192.02,10.26,202.28,24,16,16,16,2,2,"4,6,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
94.69026813,94.69026813,97.4477607,0.029121182,3.511223078,3.51,192.01,3.51,195.52,24,16,17,17,2,2,"2,4,6,7,8,9,12,14,15,16,17,18,19,22,24,25"
95.84896306,95.84896306,98.26218242,0.025177313,3.89199996,3.89,192.01,3.89,195.9,24,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,18,19,24,25"
96.31397967,96.31397967,97.89315389,0.016396106,2.867933035,2.87,192.01,2.87,194.88,24,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,19,22,24,25"
96.37451245,96.37451245,98.64242685,0.023532305,5.626426935,5.63,192.03,5.63,197.66,24,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,16,18,19,22,24,25"
93.19448148,93.19448148,95.73453471,0.027255404,7.688760996,7.69,204.01,7.69,211.7,24,17,17,17,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
