total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.68513606407676,121.68513596979585,121.69924802570672,0.00011597189581457363,0.6773231029510498,0.68,0.0942809041581576,1,1,1,2,1,25
121.36729403298217,121.36729394371983,121.62741074450112,0.0021432199098211004,0.3451368808746338,0.35,0.08926233797113448,1,1,2,2,2,14
121.73071921325177,121.73071916054715,121.73071916054715,0.0,0.08235383033752441,0.08,0.05270462766946993,1,1,1,2,1,9
121.54101088405245,121.54101081533403,121.54101081533403,0.0,0.08052396774291992,0.08,0.06871842709362741,1,1,1,2,1,10
121.61332617340742,121.613326104689,121.613326104689,0.0,0.08202695846557617,0.08,0.06871842709362785,1,1,1,2,1,22
121.68739273927392,121.68739265594058,121.68739265594058,0.0,0.08378386497497559,0.08,0.08333333333333504,1,1,1,2,1,24
121.87495709570959,121.87495707904293,121.87495707904293,0.0,0.080657958984375,0.08,0.016666666666665053,1,1,1,2,1,6
121.55996427225782,121.5599642195532,121.5599642195532,0.0,0.08355307579040527,0.08,0.05270462766946937,1,1,1,2,1,17
121.95358558558559,121.95358556891892,121.95358556891892,0.0,0.08243989944458008,0.08,0.01666666666666483,1,1,1,2,1,2
121.74952727272729,121.7495272227273,121.75561807576473,5.002773461528354e-05,0.6597437858581543,0.66,0.04999999999995097,1,1,1,2,1,16
119.23525396111062,119.2352538697379,121.62741074450112,0.0200624965949802,0.7861099243164062,0.79,0.09137270732149716,1,1,5,2,2,18
121.75107820235932,121.75107812782372,121.75107812782372,0.0,0.08400106430053711,0.08,0.07453559924998987,1,1,1,2,1,15
121.82316262887396,121.82316260530374,121.82521823766466,1.6873904083260332e-05,0.6511521339416504,0.65,0.023570226039506537,1,1,1,2,1,7
121.6888477529491,121.6888477156813,121.69452939503546,4.6690222323652986e-05,0.6487259864807129,0.65,0.03726779962495286,1,1,1,2,1,12
121.86075675675677,121.86075670675677,121.86075670675677,0.0,0.08065199851989746,0.08,0.04999999999999627,1,1,1,2,1,4
