total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.87495709570959,121.87495707904293,121.87495707904293,0.0,0.22531700134277344,0.23,0.01666666666666572,1,1,1,4,1,6
121.6888477529491,121.6888477156813,121.69453448278239,4.673203179940416e-05,2.5415990352630615,2.54,0.03726779962495286,1,1,1,4,1,12
121.61332617340742,121.613326104689,121.62615343149615,0.00010547632581081656,2.5062360763549805,2.51,0.06871842709358233,1,1,1,4,1,22
121.74952727272728,121.74952722272728,121.74952722272728,0.0,0.22042417526245117,0.22,0.04999999999999716,1,1,1,4,1,16
121.54840239184725,121.54840232113656,121.56380534591037,0.00012672338327498537,2.2066709995269775,2.21,0.07071067811861198,1,1,1,4,1,19
121.61621583062286,121.61621577053035,121.61621577053035,0.0,0.22409701347351074,0.22,0.060092521257736564,1,1,1,4,1,14
121.82316262887397,121.82316260530375,121.82316260530375,0.0,0.22650694847106934,0.23,0.023570226039552722,1,1,1,4,1,7
121.61621583062286,121.61621577053035,121.62739749200114,9.194268543834051e-05,2.494312047958374,2.49,0.06009252125769038,1,1,1,4,1,18
121.73071921325177,121.73071916054715,121.73762293631786,5.6713505172052245e-05,2.494088888168335,2.49,0.0527046276694243,1,1,1,4,1,9
121.86075675675677,121.86075670675677,121.86075670675677,0.0,0.22535109519958496,0.23,0.04999999999999716,1,1,1,4,1,4
121.54101088405244,121.54101081533402,121.54101081533402,0.0,0.21888089179992676,0.22,0.06871842709362852,1,1,1,4,1,10
121.68513606407676,121.68513596979585,121.68513596979585,0.0,0.21937203407287598,0.22,0.09428090415820378,1,1,1,4,1,25
121.95358558558559,121.95358556891892,121.95358556891892,0.0,0.2226109504699707,0.22,0.01666666666666572,1,1,1,4,1,2
121.72039556590259,121.7203955286348,121.725505190668,4.197868410642827e-05,2.5005428791046143,2.5,0.03726779962495286,1,1,1,4,1,8
121.68739273927392,121.68739265594058,121.68739265594058,0.0,0.21647214889526367,0.22,0.0833333333333357,1,1,1,4,1,24
121.55996427225782,121.5599642195532,121.5712522479175,9.285975392290701e-05,2.4623570442199707,2.46,0.0527046276694243,1,1,1,4,1,17
121.75107820235931,121.7510781278237,121.7510781278237,0.0,0.22413015365600586,0.22,0.07453559924999098,1,1,1,4,1,15
121.36417351292639,121.36417344420796,121.36417344420798,0.0,0.22348713874816895,0.22,0.06871842709362852,2,2,2,4,2,"7,10"
120.18502547917495,120.18502537477475,121.50216116382073,0.010959233772583009,2.9963369369506836,3.0,0.10440019977420847,2,2,3,4,2,"6,22"
121.2261469481292,121.22614685384829,121.25556822036215,0.000242698190756894,2.51772403717041,2.52,0.0942809041581576,2,2,2,4,2,"10,25"
121.37624049222302,121.37624040888969,121.39443669983552,0.00014991641596854928,2.5007498264312744,2.5,0.08333333333328241,2,2,2,4,2,"12,24"
120.07712553772336,120.07712541987223,121.39920772360453,0.011010276096378826,2.7895760536193848,2.79,0.11785113019305982,2,2,4,4,2,"24,25"
