total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_jobs_arrived,number_of_job_processed,number_of_initial_fires,initial_fire_node_IDs
8.220862642,8.220856382,9.395966928,0.142942595,3600.051517,3600.06,6.259999238,13,13,12,"3,4,6,7,10,14,15,19,20,23,24,25"
7.282171379,7.282165239,9.29678382,0.276651039,3600.088622,3600.09,6.14,15,13,12,"3,4,6,7,8,11,15,18,19,22,23,24"
7.280477533,7.280470983,9.246899982,0.270096399,3600.067099,3600.07,6.549999,15,14,12,"2,4,6,7,8,10,11,14,15,18,23,25"
8.077415557,8.077409627,9.412888817,0.165335083,3600.215931,3600.22,5.9299989,13,12,12,"2,4,6,8,10,15,18,19,20,23,24,25"
7.325313576,7.325306936,9.283620666,0.267335382,3600.115654,3600.12,6.639957659,15,14,12,"2,3,4,6,7,10,11,14,15,18,22,25"
7.816236935,7.816230395,9.40737488,0.203569292,3600.081942,3600.09,6.539999672,14,14,12,"2,3,7,8,10,14,15,19,22,23,24,25"
7.262848262,7.262841617,9.334180371,0.28519674,3600.154659,3600.16,6.645,15,14,12,"2,3,4,6,7,8,10,18,20,22,24,25"
7.280477082,7.280470532,9.277573492,0.2743096,3600.143855,3600.15,6.55,15,14,13,"2,4,6,7,8,10,11,14,18,20,23,24,25"
7.538709709,7.538703569,9.408817068,0.248068316,3600.051137,3600.05,6.13999912,15,13,13,"2,3,4,6,7,8,10,14,18,19,20,23,25"
7.736797374,7.736791134,9.429965194,0.218847069,3600.057783,3600.07,6.239999337,14,13,13,"2,3,4,8,10,14,15,18,19,20,22,23,25"
7.950710483,7.950704343,9.479511605,0.192285764,3600.096965,3600.1,6.139998543,14,13,13,"2,3,4,7,8,10,15,18,19,20,23,24,25"
7.377735238,7.377728513,9.346413065,0.266841555,3600.081633,3600.09,6.72499933,14,13,13,"2,3,6,8,11,14,18,19,20,22,23,24,25"
7.743633295,7.743626845,9.369784981,0.209999548,3600.128644,3600.13,6.449999491,14,13,13,"2,3,4,10,11,14,15,19,20,22,23,24,25"
7.518455863,7.518449343,9.349196306,0.243500605,3600.178944,3600.18,6.519997,15,14,13,"2,3,4,7,8,10,15,18,19,20,22,23,25"
7.820862828,7.820856568,9.425590612,0.205186482,3600.135738,3600.14,6.259999066,14,13,13,"2,3,4,6,7,10,14,15,18,19,20,23,24"
7.186883892,7.186876962,9.255421953,0.287822513,3600.278755,3600.29,6.929999537,15,14,13,"3,4,6,7,8,10,11,18,20,22,23,24,25"
7.282170909,7.282164769,9.357192608,0.284946565,3600.106331,3600.12,6.14,15,13,13,"3,4,6,7,8,11,14,15,18,19,22,23,24"
7.193845381,7.193838761,9.25596138,0.286651215,3600.55528,3600.56,6.619998,15,14,13,"2,4,6,7,10,11,14,18,20,22,23,24,25"
7.410601032,7.410595012,9.341034916,0.260497288,3600.227972,3600.23,6.019999757,15,13,13,"2,3,7,8,10,11,14,18,20,22,23,24,25"
7.71156818,7.71156214,9.292441671,0.205001205,3600.099065,3600.11,6.03999937,14,13,13,"2,4,7,10,11,14,15,18,19,20,22,23,25"
6.797204823,6.797197973,9.241860251,0.35965736,3600.109442,3600.11,6.84999908,16,15,13,"2,4,6,7,8,11,14,15,18,19,20,22,24"
7.573263016,7.573256671,9.344590279,0.233893249,3600.074479,3600.08,6.344998434,14,13,13,"2,4,6,8,10,14,15,18,19,20,22,24,25"
7.082389474,7.082383334,9.225169134,0.302551514,3600.088885,3600.1,6.139999667,16,13,13,"2,3,4,6,7,8,10,11,14,18,23,24,25"
6.646447916,6.646441586,9.253557062,0.392257337,3600.081012,3600.09,6.33,17,14,13,"2,3,4,6,7,8,10,11,15,19,20,22,24"
7.812476306,7.812470081,9.358742622,0.197923643,3600.728179,3600.74,6.224922286,14,13,13,"2,3,4,7,8,14,15,18,20,22,23,24,25"
7.038564344,7.038557724,9.313494649,0.323210665,3600.119071,3600.13,6.619999,16,15,13,"3,4,6,7,8,10,11,14,19,20,22,24,25"
7.266695275,7.266688725,9.226663776,0.269720519,3600.078722,3600.09,6.549999187,15,13,13,"2,3,4,6,7,10,11,14,15,20,22,23,24"
6.776347513,6.776340853,9.116669775,0.345367651,3600.06216,3600.07,6.66,16,14,14,"2,4,6,7,8,10,11,15,19,20,22,23,24,25"
7.064426678,7.064420038,9.304775661,0.317132278,3600.107937,3600.11,6.639998567,16,14,14,"2,3,4,6,7,8,10,11,14,18,20,23,24,25"
6.655544369,6.655538039,9.262513578,0.391700194,3600.159127,3600.16,6.329814747,17,14,14,"2,3,4,6,7,8,10,11,14,15,18,20,22,23"
6.655538544,6.655532214,9.185453227,0.380123021,3600.063949,3600.07,6.329999476,17,14,14,"2,3,4,6,7,8,10,11,14,19,22,23,24,25"
7.463975316,7.463968866,9.280132612,0.243324132,3600.147713,3600.15,6.449998831,14,13,14,"2,3,8,10,11,14,15,18,19,20,22,23,24,25"
7.403793647,7.403787627,9.347695667,0.262555889,3600.20525,3600.21,6.019998858,15,13,14,"2,3,6,7,8,10,14,18,19,20,22,23,24,25"
7.038565508,7.038558888,9.214330459,0.30912174,3600.065356,3600.07,6.619999,16,15,14,"3,4,6,7,8,10,11,15,18,19,20,22,24,25"
7.296571201,7.296564971,9.229424367,0.264899909,3600.088452,3600.09,6.229999761,15,13,14,"2,3,6,7,10,11,14,15,19,20,22,23,24,25"
6.806194693,6.806187863,9.160415454,0.345895182,3600.143783,3600.15,6.829999359,16,15,14,"2,4,6,7,8,10,11,14,15,18,22,23,24,25"
7.327277681,7.327271251,9.333937271,0.273862663,3600.140252,3600.14,6.429999212,15,14,14,"2,3,4,6,10,11,14,18,19,20,22,23,24,25"
6.987364586,6.987358156,9.197306245,0.316278061,3600.20282,3600.21,6.429999042,16,14,14,"2,3,6,7,8,10,11,14,15,18,20,22,23,24"
7.400470113,7.400463888,9.328789924,0.260568265,3600.049872,3600.05,6.224997837,15,13,14,"2,3,4,6,7,8,14,15,18,19,22,23,24,25"
7.107953814,7.107947174,9.218142791,0.296878348,3600.073371,3600.08,6.639998,15,14,14,"2,4,6,8,10,11,14,15,18,19,20,22,24,25"
6.884513102,6.884506772,9.180816984,0.333547528,3600.10852,3600.11,6.329999688,16,14,14,"2,3,4,6,7,8,10,11,15,18,20,22,23,25"
6.963247849,6.963241329,9.196954313,0.320786381,3600.588333,3600.59,6.52,16,14,14,"2,3,4,6,7,8,11,15,18,19,20,22,23,24"
7.518456246,7.518449726,9.339202819,0.242171346,3600.329903,3600.33,6.519998,15,14,14,"2,3,4,7,8,10,14,18,19,20,22,23,24,25"
7.088681144,7.088674624,9.204239341,0.298442915,3600.132602,3600.14,6.519998026,16,14,14,"2,3,4,7,8,10,11,14,15,19,22,23,24,25"
7.021662667,7.021655717,9.234914135,0.315204634,3600.262749,3600.27,6.949999519,15,14,14,"2,3,6,8,10,11,14,15,18,20,22,23,24,25"
7.104680633,7.104674113,9.258145122,0.303106233,3600.068359,3600.07,6.52,16,14,14,"2,3,4,6,7,8,10,14,18,19,20,22,23,25"
7.021662378,7.021655428,9.252461393,0.317703708,3600.051095,3600.06,6.949999131,15,14,14,"2,3,6,8,11,14,15,18,19,20,22,23,24,25"
7.0823933,7.08238716,9.310174614,0.314553187,3600.04949,3600.05,6.139999901,16,13,15,"2,3,4,6,7,8,10,11,14,18,19,20,23,24,25"
7.414563226,7.414557087,9.287312798,0.252578231,3600.198926,3600.2,6.139951715,15,13,15,"2,3,6,7,8,10,11,14,15,18,19,20,23,24,25"
6.655539217,6.655532887,9.213534554,0.384342127,3600.504497,3600.51,6.3299994,17,14,15,"2,3,4,6,7,8,10,11,14,15,18,20,22,23,25"
7.088680703,7.088674183,9.222520444,0.301021913,3600.119969,3600.13,6.519998791,16,14,15,"2,3,4,7,8,10,11,14,15,18,19,20,22,23,24"
7.420295616,7.420289376,9.165797947,0.235234569,3600.149198,3600.15,6.239999756,15,14,15,"4,6,7,8,10,11,14,15,18,19,20,22,23,24,25"
7.06442621,7.06441957,9.278996848,0.31348326,3600.141982,3600.15,6.639999986,16,14,15,"2,3,4,6,7,8,10,11,14,15,18,19,20,23,24"
7.469805998,7.469799478,9.231665112,0.235865185,3600.244026,3600.25,6.519985991,15,14,15,"3,4,7,8,10,11,14,15,18,19,20,22,23,24,25"
6.806194492,6.806187662,9.127500198,0.341059144,3600.143699,3600.15,6.829999,16,15,15,"2,4,6,7,8,10,11,14,15,19,20,22,23,24,25"
6.651713875,6.651707545,9.162052983,0.377398648,3600.201825,3600.21,6.329998724,17,14,15,"2,3,4,6,7,8,10,11,14,15,18,22,23,24,25"
7.282171277,7.282165137,9.208284614,0.264498187,3600.184159,3600.19,6.14,15,13,15,"2,3,6,7,8,11,14,15,18,19,20,22,23,24,25"
7.538709852,7.538703712,9.370036432,0.242924087,3600.255007,3600.26,6.139999291,15,13,15,"2,3,4,6,7,8,10,14,15,18,19,20,23,24,25"
7.038345969,7.038339329,9.248951959,0.314081565,3600.091366,3600.1,6.639999275,16,15,15,"3,4,6,7,8,10,11,15,18,19,20,22,23,24,25"
6.79758913,6.79758249,9.224635667,0.357046521,3600.446368,3600.45,6.63999994,16,14,15,"2,3,4,6,8,10,11,14,15,18,19,20,22,24,25"
6.799968588,6.799961448,9.16319177,0.347535841,3600.235966,3600.24,7.139999878,16,15,15,"2,4,6,7,8,10,11,14,15,18,20,22,23,24,25"
6.655538712,6.655532382,9.203666394,0.382859532,3600.176695,3600.18,6.329999562,17,14,15,"2,3,4,6,7,8,10,11,14,18,19,20,22,23,25"
6.795134566,6.795127636,9.177311695,0.350572379,3600.205268,3600.21,6.929994709,16,15,15,"2,4,6,7,8,10,11,14,18,19,20,22,23,24,25"
6.853473638,6.853466908,9.235646178,0.347587477,3600.335783,3600.34,6.73,16,14,15,"2,3,6,7,8,10,11,14,18,19,20,22,23,24,25"
6.987364249,6.987357819,9.190849262,0.315354029,3600.106813,3600.11,6.429999173,16,14,15,"2,3,6,7,8,10,11,14,15,18,20,22,23,24,25"
6.651713649,6.651707319,9.169595835,0.378532668,3600.052625,3600.06,6.329999219,17,14,15,"2,3,4,6,7,8,10,11,15,18,19,22,23,24,25"
7.282178247,7.282172107,9.248736127,0.270051846,3600.153343,3600.16,6.139995962,15,13,15,"3,4,6,7,8,11,14,15,18,19,20,22,23,24,25"
6.655204699,6.655198459,9.206422741,0.383343081,3600.23487,3600.24,6.239999083,17,14,16,"2,3,4,6,7,8,10,11,14,15,18,19,20,22,23,24"
6.655539254,6.655532924,9.235147707,0.387589516,3600.259771,3600.26,6.33,17,14,16,"2,3,4,6,7,8,10,11,14,15,18,19,22,23,24,25"
6.655539019,6.655532689,9.198789962,0.38212678,3600.126952,3600.13,6.329999308,17,14,16,"2,3,4,6,7,8,10,11,14,18,19,20,22,23,24,25"
6.983127313,6.983120773,9.204386457,0.318090687,3600.214022,3600.22,6.539999725,16,14,16,"2,3,6,7,8,10,11,14,15,18,19,20,22,23,24,25"
6.655204314,6.655198074,9.186214428,0.38030669,3600.169189,3600.17,6.239999798,17,14,16,"2,3,4,6,7,8,10,11,14,15,18,19,20,22,23,25"
7.082392984,7.082386844,9.2661564,0.308338079,3600.113407,3600.12,6.139984218,16,13,16,"2,3,4,6,7,8,10,11,14,15,18,19,20,23,24,25"
6.616517737,6.616511117,9.17027053,0.385967675,3600.742483,3600.75,6.61999156,17,14,16,"2,3,4,6,7,8,10,11,15,18,19,20,22,23,24,25"
6.799967273,6.799960133,9.128761391,0.342472781,3600.317153,3600.32,7.14,16,15,16,"2,4,6,7,8,10,11,14,15,18,19,20,22,23,24,25"
7.031073006,7.031066366,9.202713024,0.30886448,3600.277815,3600.28,6.64,16,15,16,"3,4,6,7,8,10,11,14,15,18,19,20,22,23,24,25"
6.655539299,6.655532969,9.201087752,0.382471967,3600.579852,3600.58,6.329999077,17,14,16,"2,3,4,6,7,8,10,11,14,15,19,20,22,23,24,25"
6.655539027,6.655532697,9.235927018,0.387706655,3600.13611,3600.14,6.33,17,14,16,"2,3,4,6,7,8,10,11,14,15,18,19,20,22,24,25"
6.797590504,6.797583864,9.263249576,0.362726781,3600.162735,3600.17,6.639998314,16,14,16,"2,3,4,6,8,10,11,14,15,18,19,20,22,23,24,25"
7.104680563,7.104674043,9.273773195,0.305305935,3600.353703,3600.36,6.519998955,16,14,16,"2,3,4,6,7,8,10,14,15,18,19,20,22,23,24,25"
6.960018689,6.960012259,9.252649451,0.329401315,3600.142444,3600.15,6.429999,16,14,16,"2,3,4,6,7,10,11,14,15,18,19,20,22,23,24,25"
6.963248088,6.963241568,9.191693454,0.320030817,3600.068588,3600.07,6.519998493,16,14,16,"2,3,4,6,7,8,11,14,15,18,19,20,22,23,24,25"
7.088680572,7.088674052,9.2025605,0.298206185,3600.367068,3600.37,6.519999113,16,14,16,"2,3,4,7,8,10,11,14,15,18,19,20,22,23,24,25"
6.655538334,6.655532004,9.217069208,0.384873396,3600.344456,3600.35,6.33,17,14,16,"2,3,4,6,7,8,10,11,14,15,18,20,22,23,24,25"
6.65520458,6.65519834,9.181111416,0.379539865,3601.003792,3601.01,6.239998315,17,14,17,"2,3,4,6,7,8,10,11,14,15,18,19,20,22,23,24,25"
