,total_value,total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
97%,108.9149635,112.6245821,108.9149631,112.1477193,0.02968147,35.66280007,35.66,0.012408972,0.01,35.67,0.429764074,9,10,10,2,2,"2,7,8,10,15,16,18,24,25"
100%,110.2450206,110.2740811,110.2450203,113.4215831,0.028813663,8.308820963,8.31,0.008224964,0.01,8.32,0.282404532,9,9,9,2,2,"2,6,10,14,16,17,19,22,24"
96%,108.2115268,113.04626,108.2115264,111.4334528,0.029774337,41.58533096,41.59,0.013108015,0.01,41.6,0.364172326,9,10,10,2,2,"2,6,7,10,14,15,18,24,25"
97%,109.1236391,112.2487311,109.1236387,112.3898623,0.029931403,16.71543097,16.72,0.008913994,0.01,16.73,0.363097408,9,10,10,2,2,"2,7,8,10,14,15,17,24,25"
98%,106.4757284,108.5986882,106.4757281,109.6046709,0.029386442,30.72965503,30.73,0.019222021,0.02,30.75,0.27475469,9,10,10,2,2,"6,7,8,9,10,12,16,18,19"
99%,109.4668701,110.4767263,109.4668697,112.7380183,0.029882544,17.10260081,17.1,0.013617992,0.01,17.11,0.308943851,9,9,9,2,2,"2,6,8,10,16,17,18,22,25"
94%,105.6085488,112.7043878,105.6085484,108.7552029,0.029795452,32.024436,32.02,0.016636133,0.02,32.04,0.355228475,9,11,11,2,2,"4,7,8,12,14,15,17,18,24"
96%,109.1987687,113.530573,109.1987683,112.4482289,0.029757301,45.34980392,45.35,0.018769979,0.02,45.37,0.397286569,9,10,10,2,2,"2,4,7,9,12,14,15,16,24"
97%,106.9027752,110.4357896,106.9027747,110.0952936,0.029863761,167.410233,167.41,0.007009029,0.01,167.42,0.495403863,9,10,10,2,2,"4,8,9,10,12,14,16,22,25"
95%,104.4729729,109.8021654,104.4729725,107.566806,0.029613722,82.60698009,82.61,0.035789967,0.04,82.65,0.397286569,9,11,11,2,2,"2,8,9,10,15,16,19,22,24"
99%,110.4063191,111.8076848,110.4063188,113.7184758,0.029999705,18.9320972,18.93,0.030583858,0.03,18.96,0.362878288,9,9,9,2,2,"2,4,8,9,15,16,17,18,19"
96%,106.3627643,110.4357896,106.3627638,109.5473019,0.029940347,153.2290409,153.23,0.020627022,0.02,153.25,0.428737196,9,10,10,2,2,"4,8,9,10,12,16,18,22,25"
99%,111.7864766,112.6408147,111.7864763,114.9261036,0.028085931,7.95054698,7.95,0.044001102,0.04,7.99,0.305229253,9,9,9,2,2,"2,4,7,10,14,15,17,18,25"
98%,109.4802204,111.9701071,109.48022,112.7568846,0.029929284,43.82645202,43.83,0.006704092,0.01,43.84,0.456303392,9,10,10,2,2,"2,4,7,10,14,15,17,19,25"
96%,106.9296861,111.8115502,106.9296858,110.1270639,0.029901688,144.5091212,144.51,0.018357992,0.02,144.53,0.393571971,9,10,10,2,2,"4,7,9,10,12,15,18,19,22"
99%,107.2961143,108.7780456,107.296114,110.479739,0.029671392,32.41993809,32.42,0.022855997,0.02,32.44,0.307061145,10,10,10,2,2,"6,7,12,14,15,17,18,19,22,24"
97%,108.1634575,111.1565238,108.1634572,111.3526293,0.029484746,26.47744393,26.48,0.017391205,0.02,26.5,0.329544978,10,11,11,2,2,"2,4,7,8,9,12,14,15,18,19"
95%,103.8732725,109.6718596,103.8732721,106.9712953,0.029825027,254.9999721,255,0.017683029,0.02,255.02,0.394548035,10,11,11,2,2,"8,9,10,12,14,15,17,18,24,25"
97%,106.8386758,110.212301,106.8386754,110.0335804,0.029904012,138.9366999,138.94,0.036824942,0.04,138.98,0.386293623,10,11,11,2,2,"2,4,6,8,9,14,15,17,19,24"
96%,104.98038,109.3915613,104.9803796,109.0792342,0.039044006,1200.032394,1200.03,0.032361984,0.03,1200.06,0.376685246,10,11,11,2,2,"4,6,8,9,10,12,15,16,17,24"
97%,104.8716656,108.5390625,104.8716652,108.012815,0.029952321,307.1472301,307.15,0.020172119,0.02,307.17,0.389417636,10,12,12,2,2,"2,6,7,8,9,10,12,14,16,25"
98%,109.413909,111.106672,109.4139085,112.6799905,0.029850702,21.08789515,21.09,0.042754173,0.04,21.13,0.424900806,10,10,10,2,2,"2,4,7,8,12,14,16,19,24,25"
98%,109.4117667,111.3453888,109.4117663,112.6829298,0.029897731,14.97649693,14.98,0.006548882,0.01,14.99,0.409162941,10,10,10,2,2,"2,4,7,10,14,15,16,17,24,25"
97%,105.2577555,108.5262334,105.2577552,108.4050095,0.029900451,202.8503461,202.85,0.018683195,0.02,202.87,0.338078253,10,11,11,2,2,"2,4,8,9,10,12,16,18,19,24"
98%,105.9503018,108.3979928,105.9503015,109.1263737,0.029977001,72.04734802,72.05,0.022069931,0.02,72.07,0.331284238,10,10,10,2,2,"4,6,7,9,10,16,17,18,19,25"
97%,107.6272683,110.6399596,107.6272678,110.8468432,0.029914123,63.22084498,63.22,0.022315979,0.02,63.24,0.496478781,10,10,10,2,2,"2,7,10,12,14,15,18,22,24,25"
97%,108.1848126,111.0230975,108.1848123,111.4170538,0.029877036,21.19285202,21.19,0.016621828,0.02,21.21,0.32275097,10,10,10,2,2,"2,7,8,12,15,16,17,18,24,25"
100%,106.8710496,107.2412075,106.8710493,110.0335821,0.029592044,32.42411399,32.42,0.020238876,0.02,32.44,0.336558088,10,11,11,2,2,"2,6,7,10,12,15,16,17,18,24"
97%,106.7436265,110.5797564,106.7436261,109.9444405,0.029986,99.41019201,99.41,0.035981178,0.04,99.45,0.331284238,10,11,11,2,2,"2,4,6,8,14,15,16,17,19,24"
99%,107.8899385,109.024956,107.8899382,111.0858071,0.029621566,25.85077,25.85,0.02415204,0.02,25.87,0.360995611,10,10,10,2,2,"4,6,7,9,10,12,15,17,19,22"
97%,105.177148,108.2292764,105.1771475,108.3152373,0.029836232,328.472281,328.47,0.028244019,0.03,328.5,0.432359157,10,11,11,2,2,"4,6,7,9,10,15,16,19,22,25"
97%,106.9029025,109.9195352,106.9029021,110.1075916,0.029977572,193.6889191,193.69,0.031527042,0.03,193.72,0.391567473,10,11,11,2,2,"2,4,6,14,15,17,18,19,22,24"
99%,107.5630351,109.1216928,107.5630346,110.7844194,0.029948809,27.82030606,27.82,0.042181969,0.04,27.86,0.423825888,10,11,11,2,2,"2,4,12,14,16,17,18,19,22,25"
97%,106.5543714,110.2946112,106.554371,109.7497706,0.029988442,243.8280039,243.83,0.005486965,0.01,243.84,0.42279901,10,10,10,2,2,"4,7,8,10,14,18,19,22,24,25"
99%,104.3921974,105.9711486,104.3921971,107.5107811,0.029873727,337.502811,337.5,0.029961109,0.03,337.53,0.348263411,10,11,11,2,2,"2,4,8,10,12,16,18,19,22,24"
97%,101.4276955,104.6340515,101.4276951,108.0841362,0.065627451,1200.028643,1200.03,0.022588968,0.02,1200.05,0.41224226,11,12,12,2,2,"7,8,9,10,12,15,16,17,18,22,25"
97%,103.6892655,106.6560221,103.6892652,106.7660439,0.029673068,58.57334304,58.57,0.02193594,0.02,58.59,0.315956955,11,11,11,2,2,"2,7,9,10,12,16,17,18,19,22,24"
98%,107.0133696,109.3589055,107.0133692,110.194287,0.02972449,56.49221396,56.49,0.054815054,0.06,56.55,0.458898476,11,11,11,2,2,"2,4,6,9,10,14,15,16,17,24,25"
96%,103.6729555,107.5938794,103.6729551,107.3433541,0.03540363,1200.024122,1200.02,0.021548986,0.02,1200.04,0.40214979,11,12,12,2,2,"2,6,8,9,12,14,16,17,19,24,25"
99%,106.6777585,107.9501928,106.6777582,109.8318625,0.029566653,65.59855294,65.6,0.045152187,0.05,65.65,0.323606798,11,11,11,2,2,"2,4,6,7,8,10,14,16,17,19,24"
93%,98.13087838,105.3088873,98.1308779,102.5869867,0.045409854,1200.019674,1200.02,0.028635025,0.03,1200.05,0.472041032,11,13,13,2,2,"2,6,7,8,10,14,16,18,19,22,25"
97%,102.5865273,105.5027807,102.5865267,105.6518407,0.029880278,1023.806637,1023.81,0.011899948,0.01,1023.82,0.512832942,11,12,12,2,2,"2,4,7,9,10,12,15,17,19,22,25"
97%,103.2214858,106.0536618,103.2214854,106.2783035,0.029614165,86.87684178,86.88,0.022901058,0.02,86.9,0.389636727,11,11,11,2,2,"7,8,9,10,12,15,17,18,19,24,25"
99%,103.4358989,104.9612031,103.4358985,106.5357415,0.029968734,332.4584699,332.46,0.028686047,0.03,332.49,0.423825888,11,12,12,2,2,"2,7,10,12,14,16,17,18,19,22,25"
98%,106.2668721,108.7348948,106.2668718,109.4195145,0.029667221,58.75123477,58.75,0.02860117,0.03,58.78,0.373189929,11,11,11,2,2,"4,7,8,9,10,12,14,18,19,24,25"
98%,104.4874971,107.12469,104.4874967,107.5456755,0.029268371,75.21696496,75.22,0.020322084,0.02,75.24,0.41896262,11,11,11,2,2,"2,6,7,8,10,12,16,17,22,24,25"
98%,106.4335957,108.3035135,106.4335954,109.6155152,0.029895822,50.43485403,50.43,0.021850109,0.02,50.45,0.375610518,11,11,11,2,2,"4,6,8,15,16,17,18,19,22,24,25"
97%,103.546047,106.4543987,103.5460466,106.6446761,0.029925136,663.6390312,663.64,0.00602293,0.01,663.65,0.385218705,11,11,11,2,2,"7,8,9,10,15,17,18,19,22,24,25"
98%,106.0186084,107.9020523,106.0186081,109.198466,0.029993395,169.3136871,169.31,0.034292936,0.03,169.34,0.342277184,11,11,11,2,2,"2,4,7,9,12,14,15,16,17,19,22"
95%,102.2056036,107.092098,102.205603,107.8966536,0.055682374,1200.022605,1200.02,0.023300886,0.02,1200.04,0.531694789,11,13,13,2,2,"2,4,6,10,12,14,15,16,18,22,25"
97%,104.9268751,107.8428168,104.9268747,108.0669203,0.029926038,324.691098,324.69,0.03788805,0.04,324.73,0.371411586,11,11,11,2,2,"4,6,7,10,14,17,18,19,22,24,25"
95%,100.5153462,106.2643842,100.5153456,107.6812184,0.071291331,1200.027587,1200.03,0.033048153,0.03,1200.06,0.545500939,11,13,13,2,2,"2,6,7,10,12,15,18,19,22,24,25"
98%,101.46068,103.350593,101.4606797,104.4916314,0.029873166,353.0629249,353.06,0.020347118,0.02,353.08,0.337413208,11,12,12,2,2,"2,6,8,9,10,12,14,16,18,19,22"
99%,105.5414675,107.0698391,105.5414671,108.6882896,0.029815981,547.8537612,547.85,0.033030033,0.03,547.88,0.395355823,11,11,11,2,2,"6,7,8,9,12,16,17,18,19,24,25"
100%,106.47438,106.4202037,106.4743796,109.6500318,0.029825506,76.96223187,76.96,0.031569004,0.03,76.99,0.415956955,11,12,12,2,2,"2,4,6,8,12,14,15,16,17,18,25"
102%,101.3966102,99.52775525,101.3966098,104.4357933,0.029973226,190.0142698,190.01,0.022045135,0.02,190.03,0.444427021,12,13,13,2,2,"2,6,8,9,12,14,15,16,17,18,22,25"
98%,101.2827082,103.5659413,101.2827078,104.2561222,0.029357573,127.6354699,127.64,0.028100967,0.03,127.67,0.369891422,12,12,12,2,2,"2,6,7,8,9,10,12,15,16,17,18,24"
95%,100.3460873,105.6549663,100.3460868,103.3496344,0.029931886,981.610213,981.61,0.023851156,0.02,981.63,0.504299673,12,13,13,2,2,"2,6,9,10,12,14,15,16,17,22,24,25"
95%,100.0704436,105.1185633,100.0704431,103.0666564,0.029941042,746.087702,746.09,0.023125172,0.02,746.11,0.48369759,12,13,13,2,2,"2,7,8,10,12,14,15,17,18,22,24,25"
95%,99.57795155,104.6479798,99.57795103,102.5641251,0.029988307,537.405431,537.41,0.025118113,0.03,537.44,0.523825888,12,13,13,2,2,"2,4,6,8,9,12,14,15,16,22,24,25"
96%,101.7837071,105.9136188,101.7837067,104.8240552,0.029870679,113.7924008,113.79,0.056984901,0.06,113.85,0.410018769,12,12,12,2,2,"2,4,7,8,9,10,12,17,18,22,24,25"
94%,98.51759058,105.1892771,98.51759008,107.6206872,0.092400729,1200.0262,1200.03,0.013106108,0.01,1200.04,0.493087227,12,13,13,2,2,"2,6,9,10,14,15,16,17,18,22,24,25"
95%,100.4257086,105.2971097,100.4257083,103.4369904,0.029985172,156.5791481,156.58,0.026190996,0.03,156.61,0.375610518,12,13,13,2,2,"2,4,6,7,8,9,10,15,16,17,19,22"
96%,100.0644563,104.6080472,100.0644558,107.6864429,0.076170774,1200.016034,1200.02,0.034770966,0.03,1200.05,0.428689131,12,13,13,2,2,"4,6,7,8,9,12,14,16,17,18,19,24"
97%,102.3837534,105.813518,102.3837529,105.4394085,0.029845122,162.042964,162.04,0.031605959,0.03,162.07,0.490492555,12,13,13,2,2,"2,4,6,7,8,12,14,17,18,19,22,24"
99%,105.0768855,105.7462452,105.0768852,108.2041345,0.029761534,119.2340059,119.23,0.036082029,0.04,119.27,0.308943851,12,12,12,2,2,"2,4,6,8,9,10,12,14,15,16,17,19"
99%,105.354609,106.2813063,105.3546086,108.456309,0.029440576,53.38218498,53.38,0.025978088,0.03,53.41,0.424900806,12,12,12,2,2,"2,6,7,12,14,16,17,18,19,22,24,25"
98%,101.2037067,102.9892693,101.2037063,104.2858447,0.030454797,1200.036318,1200.04,0.020045042,0.02,1200.06,0.369672331,12,13,13,2,2,"2,4,6,7,8,10,12,15,17,18,22,24"
98%,100.0772712,102.4507857,100.0772707,104.093451,0.040130794,1200.027517,1200.03,0.024690151,0.02,1200.05,0.491567351,12,13,13,2,2,"2,7,8,10,12,14,15,17,18,19,22,25"
100%,102.6163223,102.3422396,102.6163219,105.6872995,0.029926794,141.659559,141.66,0.047393084,0.05,141.71,0.396430741,12,12,12,2,2,"6,7,8,9,10,12,15,17,18,19,24,25"
98%,99.92772518,102.3063238,99.92772464,106.2623157,0.063391727,1200.018,1200.02,0.03123188,0.03,1200.05,0.545501776,12,14,14,2,2,"2,4,6,7,8,9,10,12,15,19,22,25"
93%,98.77210947,106.3060579,98.77210898,107.2069944,0.085397441,1200.032179,1200.03,0.032152891,0.03,1200.06,0.4930875,12,13,13,2,2,"2,6,7,9,10,14,15,16,17,18,24,25"
99%,103.796537,104.3260176,103.7965366,106.8796579,0.029703509,93.04418111,93.04,0.036462069,0.04,93.08,0.415956955,12,12,12,2,2,"6,8,12,14,15,16,17,18,19,22,24,25"
98%,102.1158058,104.3099575,102.1158053,105.135393,0.029570228,73.40467286,73.4,0.030868053,0.03,73.43,0.417031874,12,13,13,2,2,"2,6,7,8,12,14,15,16,17,18,19,24"
97%,100.842453,103.4512847,100.8424525,106.7793516,0.058873014,1200.017652,1200.02,0.023209095,0.02,1200.04,0.532769337,12,13,13,2,2,"2,4,6,7,10,12,16,17,18,19,22,25"
98%,96.81537102,99.07740442,96.81537062,100.253324,0.035510409,1200.025291,1200.03,0.047893047,0.05,1200.08,0.404080574,13,14,14,2,2,"2,6,7,8,10,12,14,15,16,18,19,22,24"
98%,101.7603105,103.3903619,101.7603101,104.7995358,0.029866513,252.679616,252.68,0.043419123,0.04,252.72,0.424900806,13,13,13,2,2,"2,6,7,9,12,14,16,17,18,19,22,24,25"
97%,100.5130328,103.2742,100.5130324,104.5819163,0.040481158,1200.013969,1200.01,0.025551081,0.03,1200.04,0.437413916,13,13,13,2,2,"2,4,6,7,10,12,14,15,16,17,18,19,22"
98%,100.7281571,102.7762478,100.7281567,103.7475072,0.029975238,822.1734798,822.17,0.0379951,0.04,822.21,0.360995611,13,13,13,2,2,"4,6,7,8,9,10,12,14,15,16,17,19,22"
99%,100.0678614,101.5658334,100.067861,103.0632884,0.029933961,950.9187689,950.92,0.026737928,0.03,950.95,0.383478764,13,13,13,2,2,"2,6,8,9,10,12,14,15,16,17,18,19,22"
98%,99.4606175,101.9882082,99.46061713,102.430457,0.029859455,239.7697461,239.77,0.052928209,0.05,239.82,0.369672331,13,13,13,2,2,"2,4,6,7,8,10,12,14,15,17,18,22,24"
98%,101.4136637,103.1155865,101.4136633,104.4489954,0.029930209,526.6631851,526.66,0.036724091,0.04,526.7,0.469891422,13,13,13,2,2,"4,6,8,9,10,12,14,15,17,19,22,24,25"
99%,99.98643543,100.611315,99.986435,102.9858104,0.029997823,978.8252439,978.83,0.042917013,0.04,978.87,0.429764074,13,14,14,2,2,"4,6,8,9,10,12,14,15,16,17,18,19,25"
96%,97.95452869,101.8220835,97.95452826,106.3901019,0.08611724,1200.016833,1200.02,0.034563065,0.03,1200.05,0.424900761,13,14,14,2,2,"2,6,7,8,9,12,14,16,17,18,19,22,24"
97%,98.68208675,101.4691778,98.68208628,102.1525399,0.03516802,1200.041666,1200.04,0.025544882,0.03,1200.07,0.47096634,13,14,14,2,2,"4,6,7,8,9,10,12,14,15,16,19,22,25"
98%,100.2854051,102.4830059,100.2854046,103.289028,0.029950753,719.0041931,719,0.02999711,0.03,719.03,0.499436406,13,13,13,2,2,"2,6,9,10,12,14,16,17,18,19,22,24,25"
97%,99.29120115,102.0653253,99.29120068,103.7023906,0.044426796,1200.033386,1200.03,0.022423983,0.02,1200.05,0.469890771,13,14,14,2,2,"2,4,6,8,9,10,14,15,16,17,19,22,25"
100%,101.6140962,101.9240131,101.6140958,104.655352,0.029929472,196.847147,196.85,0.043771029,0.04,196.89,0.429764074,13,13,13,2,2,"4,6,7,9,10,12,15,16,17,18,19,24,25"
95%,99.74669664,104.4610543,99.74669614,105.6398729,0.059081423,1200.016522,1200.02,0.027480125,0.03,1200.05,0.49988098,13,13,13,2,2,"2,4,6,7,10,14,15,16,17,18,19,24,25"
99%,100.2107329,101.7201896,100.2107325,103.2091322,0.029920944,475.8294971,475.83,0.043706894,0.04,475.87,0.394328945,13,13,13,2,2,"4,6,8,9,10,12,14,15,17,18,19,22,24"
94%,95.90182789,102.0619208,95.90182742,102.4193372,0.067960225,1200.018086,1200.02,0.033813,0.03,1200.05,0.47248617,13,14,14,2,2,"6,7,8,9,10,14,16,17,18,19,22,24,25"
98%,99.87316357,101.4395567,99.87316316,102.8657705,0.029964079,410.9618828,410.96,0.078037024,0.08,411.04,0.410018769,13,13,13,2,2,"4,6,8,9,10,12,14,16,17,18,22,24,25"
94%,98.040454,104.1250974,98.04045347,106.3382837,0.084636799,1200.013965,1200.01,0.040704012,0.04,1200.05,0.531283596,13,13,13,2,2,"4,6,7,9,10,14,15,16,17,18,19,24,25"
100%,102.4202538,102.8815867,102.4202533,105.4338023,0.029423369,117.3756099,117.38,0.038433075,0.04,117.42,0.417031874,13,13,13,2,2,"2,4,6,7,8,9,10,12,14,16,19,24,25"
98%,99.05233,101.5380631,99.05232953,102.0222016,0.029982859,971.5760851,971.58,0.025761127,0.03,971.61,0.47096634,13,13,13,2,2,"6,8,9,10,12,14,15,16,18,19,22,24,25"
98%,97.18677096,98.83132401,97.18677057,100.6263131,0.035391057,1200.026882,1200.03,0.031284094,0.03,1200.06,0.383478865,14,14,14,2,2,"2,6,7,8,9,10,12,14,15,16,17,18,19,22"
97%,96.13720602,99.13073321,96.13720552,100.5950512,0.04636962,1200.015339,1200.02,0.078625917,0.08,1200.1,0.499435988,14,14,14,2,2,"2,6,7,8,9,10,12,14,17,18,19,22,24,25"
101%,97.53231446,97.01277556,97.53231399,100.4523475,0.029939139,1029.793218,1029.79,0.045176029,0.05,1029.84,0.47096567,14,14,14,2,2,"2,6,7,8,9,10,12,15,16,17,18,19,24,25"
99%,99.04096854,99.89514481,99.04096805,102.006277,0.029940226,373.1548858,373.16,0.030955076,0.03,373.19,0.482622779,14,14,14,2,2,"2,4,6,8,9,12,14,15,16,17,18,19,24,25"
97%,97.5764509,100.3832728,97.57645042,101.1880372,0.037012894,1200.015922,1200.02,0.034476042,0.03,1200.05,0.483697672,14,14,14,2,2,"4,7,8,10,12,14,15,16,17,18,19,22,24,25"
96%,94.00840581,97.59071239,94.00840539,99.68797985,0.060415603,1200.012702,1200.01,0.070521832,0.07,1200.08,0.41681273,14,15,15,2,2,"2,4,6,7,8,9,10,12,15,16,18,19,22,24"
97%,96.90755218,99.62056605,96.90755173,100.4656094,0.036716,1200.053353,1200.05,0.061297178,0.06,1200.11,0.456084293,14,14,14,2,2,"2,4,7,8,9,10,12,15,16,17,18,22,24,25"
97%,96.66675858,100.167444,96.66675805,106.2502513,0.099139492,1200.019603,1200.02,0.02874589,0.03,1200.05,0.531694332,14,15,15,2,2,"2,4,6,7,8,9,10,12,14,15,16,18,22,25"
99%,100.2967444,101.0711575,100.296744,103.3004866,0.029948556,382.1984801,382.2,0.023113012,0.02,382.22,0.429764074,14,14,14,2,2,"4,6,7,8,9,10,12,14,15,17,18,19,24,25"
94%,95.3043983,101.4812535,95.30439777,100.1992325,0.051360009,1200.025257,1200.03,0.036752939,0.04,1200.07,0.532769739,14,15,15,2,2,"2,4,6,7,9,10,12,14,16,18,19,22,24,25"
98%,99.84696486,102.0913692,99.84696436,104.6133428,0.047736839,1200.014395,1200.01,0.042192936,0.04,1200.05,0.504299419,14,14,14,2,2,"2,4,7,8,9,10,12,14,15,18,19,22,24,25"
97%,98.33068416,101.5149893,98.33068366,102.4944669,0.042344699,1200.032385,1200.03,0.045706987,0.05,1200.08,0.504299565,14,14,14,2,2,"2,4,8,9,10,12,14,15,16,18,19,22,24,25"
97%,98.40459562,101.127172,98.40459517,102.5085993,0.041705412,1200.021375,1200.02,0.040024996,0.04,1200.06,0.444016212,14,14,14,2,2,"4,6,7,8,9,10,14,15,17,18,19,22,24,25"
96%,95.46610073,99.03416239,95.46610026,101.8337717,0.066700865,1200.028638,1200.03,0.031606913,0.03,1200.06,0.472041259,14,15,15,2,2,"2,4,6,7,8,9,10,15,16,18,19,22,24,25"
95%,96.94328198,101.7856571,96.94328153,103.0695871,0.063194741,1200.012845,1200.01,0.031468868,0.03,1200.04,0.453444379,14,14,14,2,2,"2,4,6,7,8,9,10,14,15,17,18,22,24,25"
99%,98.40972087,99.31009223,98.40972041,101.3506812,0.029884861,528.9502141,528.95,0.040069818,0.04,528.99,0.456084303,14,14,14,2,2,"4,6,7,8,10,12,14,15,16,17,18,22,24,25"
100%,95.12812132,95.32782732,95.12812083,101.1173391,0.062959494,1200.018988,1200.02,0.036869049,0.04,1200.06,0.490492131,14,15,15,2,2,"4,6,7,8,9,12,14,15,16,17,18,19,22,25"
97%,95.87855993,98.61403582,95.87855951,98.75044879,0.029953405,731.1811159,731.18,0.02602005,0.03,731.21,0.423825888,14,14,14,2,2,"6,7,8,9,10,12,14,16,17,18,19,22,24,25"
98%,98.59495818,100.7596955,98.59495783,101.5503915,0.029975506,610.713424,610.71,0.047627211,0.05,610.76,0.345091357,14,14,14,2,2,"2,4,6,7,8,9,10,12,14,15,17,18,19,24"
98%,98.16318362,100.6019862,98.16318316,101.7879495,0.036925925,1200.014885,1200.02,0.024667025,0.02,1200.04,0.457159221,14,14,14,2,2,"2,4,7,8,9,10,12,14,17,18,19,22,24,25"
97%,96.71118445,99.20028821,96.71118394,103.0619687,0.065667532,1200.02644,1200.03,0.018281937,0.02,1200.05,0.517031603,15,15,15,2,2,"2,4,7,8,9,10,12,14,15,16,17,19,22,24,25"
98%,97.31793297,99.40579817,97.31793251,103.0200351,0.058592517,1200.029854,1200.03,0.024773121,0.02,1200.05,0.456084235,15,15,15,2,2,"2,4,7,8,9,10,14,15,16,17,18,19,22,24,25"
95%,92.55311124,97.93671998,92.55311076,102.2231923,0.104481432,1200.020552,1200.02,0.042669058,0.04,1200.06,0.481547789,15,16,16,2,2,"2,4,6,7,8,9,14,15,16,17,18,19,22,24,25"
97%,93.31981131,95.87694404,93.31981073,102.0142231,0.093167917,1200.032728,1200.03,0.04739809,0.05,1200.08,0.578835259,15,16,16,2,2,"2,4,6,7,9,10,12,14,15,16,17,18,19,22,25"
97%,96.14119529,99.50776913,96.14119475,100.76112,0.048053546,1200.013005,1200.01,0.024971962,0.03,1200.04,0.545501924,15,15,15,2,2,"2,4,6,7,8,9,10,12,14,15,16,19,22,24,25"
96%,95.59482438,99.57250216,95.59482391,100.4503623,0.0507929,1200.040391,1200.04,0.036673069,0.04,1200.08,0.469891357,15,15,15,2,2,"2,4,6,7,8,9,10,14,15,16,17,19,22,24,25"
99%,95.12820697,96.24147989,95.12820648,98.96351646,0.040317274,1200.019346,1200.02,0.021358013,0.02,1200.04,0.490491169,15,15,15,2,2,"4,6,7,8,9,12,14,15,16,17,18,19,22,24,25"
99%,94.27912437,95.57402064,94.27912384,99.96174033,0.060274388,1200.03226,1200.03,0.030424118,0.03,1200.06,0.53169482,15,15,15,2,2,"2,4,6,7,8,9,10,12,15,16,17,18,22,24,25"
95%,93.11210581,97.86342248,93.11210533,103.5899744,0.112529611,1200.028341,1200.03,0.037803173,0.04,1200.07,0.485218639,15,15,15,2,2,"2,4,6,7,8,9,10,14,15,16,17,18,19,22,24"
97%,93.95816822,97.07380708,93.95816771,98.57075707,0.049091947,1200.016198,1200.02,0.037055969,0.04,1200.06,0.512167858,15,15,15,2,2,"2,6,7,8,9,10,12,14,15,16,17,19,22,24,25"
99%,96.02197544,97.22886449,96.02197496,98.90149753,0.029988162,780.561106,780.56,0.045776844,0.05,780.61,0.482623622,15,15,15,2,2,"2,4,6,7,8,9,12,14,15,16,17,18,19,24,25"
97%,94.56229606,96.99006756,94.56229564,99.88124098,0.056248056,1200.024993,1200.03,0.036925077,0.04,1200.07,0.416812367,15,15,15,2,2,"2,4,6,7,9,10,12,14,15,16,17,18,19,22,24"
97%,95.87791758,99.21597419,95.87791704,100.5029951,0.048239242,1200.022528,1200.02,0.03650713,0.04,1200.06,0.545501847,15,15,15,2,2,"2,4,6,7,9,10,12,14,15,16,17,19,22,24,25"
97%,95.87791758,99.21597419,95.87791704,100.4978985,0.048186085,1200.031846,1200.03,0.043907166,0.04,1200.07,0.545501847,15,15,15,2,2,"2,4,6,7,9,10,12,14,15,16,17,19,22,24,25"
97%,95.62842178,98.27548339,95.62842131,101.0576222,0.056773926,1200.016609,1200.02,0.046575785,0.05,1200.07,0.469890694,15,15,15,2,2,"4,6,7,8,9,10,12,14,15,16,17,19,22,24,25"
98%,91.97971154,94.25984822,91.97971113,98.0293723,0.065771691,1200.025888,1200.03,0.03226614,0.03,1200.06,0.416812784,15,16,16,2,2,"2,6,7,8,9,10,12,14,15,16,17,18,19,22,24"
100%,93.89819095,94.18020081,93.89819055,98.2835815,0.046703679,1200.01959,1200.02,0.035742998,0.04,1200.06,0.399024991,15,15,15,2,2,"2,4,6,7,8,9,10,12,14,16,17,18,19,22,24"
99%,95.4639142,96.82702792,95.4639137,99.15717747,0.038687538,1200.024624,1200.02,0.021181822,0.02,1200.04,0.499436376,15,15,15,2,2,"2,4,6,7,8,9,10,12,14,16,17,19,22,24,25"
95%,93.01183278,97.41273173,93.01183229,101.3226837,0.089352625,1200.022685,1200.02,0.020004988,0.02,1200.04,0.493087634,15,15,15,2,2,"2,6,7,8,9,10,14,15,16,17,18,19,22,24,25"
95%,92.55311124,97.93671998,92.55311076,102.2347592,0.104606407,1200.024077,1200.02,0.042524099,0.04,1200.06,0.481547789,15,16,16,2,2,"2,4,6,7,8,9,14,15,16,17,18,19,22,24,25"
98%,91.97986727,94.18042492,91.97986685,98.42454548,0.070066188,1200.031071,1200.03,0.036045074,0.04,1200.07,0.41681195,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,18,19,22,24"
96%,92.55308081,96.57959671,92.55308033,101.2213423,0.093657196,1200.016991,1200.02,0.013689041,0.01,1200.03,0.481547961,16,16,16,2,2,"2,4,6,7,8,9,10,14,15,16,17,18,19,22,24,25"
97%,93.40800824,95.84882257,93.40800766,101.7918963,0.089755567,1200.027696,1200.03,0.034765005,0.04,1200.07,0.578835096,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,17,18,19,22,24,25"
