,total_value,total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
102%,119.9193575,118.0948805,119.9193574,120.3871669,0.003901035,0.17922616,0.18,0.007330894,0.01,0.19,0.14294152,3,3,3,2,2,"4,9,17"
100%,119.9171861,120.2528835,119.9171859,120.4912753,0.004787382,0.053495169,0.05,0.008528948,0.01,0.06,0.137436854,3,3,3,2,2,"6,8,22"
100%,120.0699213,120.4685946,120.0699211,120.7651672,0.005790343,0.066243172,0.07,0.008057833,0.01,0.08,0.193254026,3,3,3,2,2,"4,6,22"
101%,119.9586804,118.3209207,119.9586803,120.7271526,0.006406142,0.160194874,0.16,0.006474018,0.01,0.17,0.161659947,3,3,3,2,2,"2,7,17"
99%,118.7822231,119.9755617,118.7822229,120.0868642,0.010983473,1.235055923,1.24,0.011238098,0.01,1.25,0.171040092,3,3,4,2,2,"7,14,19"
99%,118.9658022,120.4318737,118.965802,120.7185667,0.014733349,0.236185074,0.24,0.015398026,0.02,0.26,0.201074918,3,3,4,2,2,"4,8,16"
100%,120.4893223,120.9044655,120.4893222,121.1318697,0.005332818,0.185441971,0.19,0.006942987,0.01,0.2,0.141202266,3,3,3,2,2,"2,4,9"
99%,118.1999727,119.849158,118.1999725,120.0449088,0.015608602,0.070975065,0.07,0.008158922,0.01,0.08,0.237178801,3,3,4,2,2,"9,12,19"
100%,119.0500268,119.0235962,119.0500266,120.5666456,0.012739342,1.205349922,1.21,0.011076927,0.01,1.22,0.205229253,3,3,4,2,2,"6,14,15"
98%,118.2865436,120.8207225,118.2865434,121.0435219,0.023307626,0.205837011,0.21,0.006561041,0.01,0.22,0.156748639,3,3,5,2,2,"2,4,12"
98%,117.294948,119.9512385,117.2949479,120.0944017,0.02386679,1.038328171,1.04,0.007611036,0.01,1.05,0.13020932,3,3,4,2,2,"7,14,17"
100%,120.4644959,120.4644959,120.4644957,120.6091632,0.001200914,0.082798004,0.08,0.018992901,0.02,0.1,0.195355823,3,3,3,2,2,"2,18,25"
98%,117.9954109,120.0004336,117.9954107,120.225227,0.018897483,0.06911397,0.07,0.003650188,0,0.07,0.153034042,3,3,4,2,2,"8,9,18"
98%,117.0917325,119.5843314,117.0917323,120.0552175,0.02530909,0.855093956,0.86,0.006874084,0.01,0.87,0.255009385,3,3,5,2,2,"4,17,19"
100%,119.847706,119.847706,119.8477058,120.0264586,0.0014915,0.065114021,0.07,0.010827065,0.01,0.08,0.195355823,3,3,3,2,2,"8,10,25"
98%,117.9303821,120.5696317,117.9303819,120.7647309,0.024034086,0.070091009,0.07,0.01128006,0.01,0.08,0.180868422,3,3,4,2,2,"4,6,14"
99%,117.2538795,118.7318719,117.2538793,119.8761996,0.022364466,0.770301104,0.77,0.012015104,0.01,0.78,0.260947571,4,4,5,2,2,"7,16,18,24"
98%,115.8720181,117.9834832,115.8720179,119.1813339,0.028560096,0.657363176,0.66,0.004925966,0.01,0.67,0.247652893,4,5,5,2,2,"9,10,14,18"
98%,115.8131249,117.9824053,115.8131247,119.2742183,0.029885159,5.673469067,5.67,0.023785114,0.02,5.69,0.246332665,4,5,5,2,2,"10,15,16,19"
98%,115.6345273,117.8190478,115.6345271,118.9963212,0.029072581,0.980987072,0.98,0.017108917,0.02,1,0.273727812,4,5,5,2,2,"10,14,19,24"
97%,116.0613411,119.1371872,116.0613408,119.5221336,0.029818652,5.319885015,5.32,0.012916088,0.01,5.33,0.253034042,4,5,5,2,2,"6,10,15,18"
100%,118.064043,118.3590952,118.0640427,119.4636015,0.011854234,0.094484091,0.09,0.006371975,0.01,0.1,0.263542653,4,4,4,2,2,"9,18,22,24"
97%,115.1320377,118.4307905,115.1320374,118.5783446,0.02993352,5.962980032,5.96,0.074790001,0.07,6.03,0.334456292,4,5,5,2,2,"9,10,22,24"
100%,119.4318597,119.3857185,119.4318595,120.2880763,0.007169082,0.099112034,0.1,0.008852005,0.01,0.11,0.207868933,4,4,4,2,2,"4,6,16,22"
99%,116.4196637,117.1675454,116.4196634,119.6890483,0.028082755,0.973675013,0.97,0.018250942,0.02,0.99,0.276974624,4,5,5,2,2,"9,10,15,16"
99%,116.0537041,117.7909892,116.0537039,119.5327784,0.029978143,0.085906029,0.09,0.020147085,0.02,0.11,0.182745415,4,4,4,2,2,"7,8,10,22"
100%,118.3678932,118.6950324,118.367893,119.9200901,0.013113329,0.091468096,0.09,0.017251015,0.02,0.11,0.227614237,4,4,4,2,2,"2,17,24,25"
98%,116.3114657,118.5741924,116.3114654,119.6016248,0.02828749,1.020243168,1.02,0.008712053,0.01,1.03,0.238078253,4,4,5,2,2,"2,10,14,18"
100%,119.3714309,119.5289614,119.3714307,120.4619945,0.009135886,0.082562923,0.08,0.007953167,0.01,0.09,0.185385094,4,4,4,2,2,"2,6,16,22"
99%,117.270556,118.8108086,117.2705555,119.9856132,0.023152084,1.952139854,1.95,0.004588127,0,1.95,0.463095238,4,4,4,2,2,"2,9,17,25"
100%,117.4008501,117.0708775,117.4008499,118.8860185,0.012650408,0.099112034,0.1,0.007248163,0.01,0.11,0.23570226,4,4,4,2,2,"10,17,19,25"
99%,116.9375673,118.2920538,116.9375671,119.4203901,0.021232039,1.088988066,1.09,0.005959034,0.01,1.1,0.225346052,4,4,5,2,2,"7,8,10,17"
100%,120.084224,119.7693601,120.0842239,120.355849,0.002261955,1.365062952,1.37,0.008646011,0.01,1.38,0.161803399,4,4,4,2,2,"2,6,15,19"
98%,116.7503163,119.0131736,116.750316,119.5762927,0.024205302,0.170192957,0.17,0.031213045,0.03,0.2,0.33112818,4,5,5,2,2,"4,10,14,25"
101%,118.5647812,117.5748053,118.564781,120.1091631,0.013025639,0.087769985,0.09,0.03619194,0.04,0.13,0.190081972,4,4,4,2,2,"6,7,15,17"
99%,118.6915125,120.2911452,118.6915123,120.6734238,0.016698006,0.348099947,0.35,0.011672974,0.01,0.36,0.174535599,4,4,5,2,2,"2,4,6,14"
100%,117.3950693,117.3747031,117.3950691,119.4955922,0.017892771,2.033026934,2.03,0.019900084,0.02,2.05,0.229544984,5,5,5,2,2,"2,6,12,19,22"
99%,115.9173711,117.5541567,115.9173708,119.383086,0.029898152,3.40469408,3.4,0.008021832,0.01,3.41,0.296211651,5,6,6,2,2,"2,6,10,19,24"
99%,116.2772954,117.4594245,116.2772952,119.1479128,0.024687688,0.387162924,0.39,0.004994869,0.01,0.4,0.214882037,5,5,6,2,2,"2,16,17,18,22"
100%,117.8775877,118.2781756,117.8775874,119.2434876,0.011587446,0.099045992,0.1,0.010136127,0.01,0.11,0.250810453,5,5,5,2,2,"7,9,10,15,24"
100%,116.3961198,115.9949309,116.3961195,118.6798559,0.019620383,2.151441097,2.15,0.007333994,0.01,2.16,0.302368927,5,5,6,2,2,"12,14,19,24,25"
100%,116.3916972,115.9002966,116.391697,118.8719103,0.021309195,0.11404705,0.11,0.012275934,0.01,0.12,0.254201597,5,5,5,2,2,"6,10,18,22,25"
98%,116.0061687,118.0929822,116.0061684,119.3916643,0.029183758,2.433785915,2.43,0.019873857,0.02,2.45,0.336558088,5,6,6,2,2,"6,12,15,22,25"
100%,116.3169652,116.0870801,116.3169649,118.8106847,0.021439004,0.283600807,0.28,0.028329849,0.03,0.31,0.327614237,5,5,5,2,2,"16,17,22,24,25"
99%,117.110518,117.9701454,117.1105178,119.7346025,0.022406909,0.092149973,0.09,0.008774042,0.01,0.1,0.25205176,5,5,5,2,2,"2,6,7,10,22"
100%,116.5275606,116.6686271,116.5275603,119.6318628,0.026640071,2.352043152,2.35,0.009557009,0.01,2.36,0.275610518,5,6,7,2,2,"6,7,14,16,25"
100%,118.1060831,118.0231241,118.1060829,119.6188251,0.012808335,0.092459202,0.09,0.008609056,0.01,0.1,0.197360321,5,5,5,2,2,"2,9,16,18,24"
97%,115.0705949,118.537226,115.0705946,118.4571451,0.029430199,7.402039051,7.4,0.028942108,0.03,7.43,0.328689156,5,6,6,2,2,"7,8,15,16,25"
100%,115.8443022,115.4479512,115.8443019,118.8653049,0.026078132,2.990427971,2.99,0.006808996,0.01,3,0.33112818,5,6,6,2,2,"9,12,14,22,25"
101%,116.8583694,116.0760526,116.8583693,119.5405795,0.022952659,0.99029088,0.99,0.012632132,0.01,1,0.182745415,5,5,5,2,2,"2,6,8,10,18"
100%,118.4043818,118.4352116,118.4043815,120.04564,0.013861467,0.135725021,0.14,0.014967203,0.02,0.16,0.278644833,5,5,5,2,2,"2,7,15,16,24"
99%,117.0154826,117.8681336,117.0154824,119.3949994,0.020335061,0.41774106,0.42,0.005617857,0.01,0.43,0.22658736,5,5,5,2,2,"4,8,12,16,22"
99%,116.22949,117.4450335,116.2294898,118.8721197,0.022736312,0.184429884,0.18,0.008400917,0.01,0.19,0.211972453,5,5,5,2,2,"6,10,15,17,22"
101%,118.3771773,116.8230501,118.3771771,119.3628135,0.008326237,0.090549946,0.09,0.017055988,0.02,0.11,0.228689156,5,5,5,2,2,"7,8,12,24,25"
100%,116.3123295,116.6515627,116.3123293,118.7892713,0.02129561,0.107129097,0.11,0.018619061,0.02,0.13,0.185883041,5,5,5,2,2,"8,9,12,14,17"
100%,117.892649,117.7868437,117.8926488,119.2288928,0.011334413,3.510252953,3.51,0.009692907,0.01,3.52,0.188342718,5,5,5,2,2,"6,7,10,16,19"
100%,115.700804,115.4280787,115.7008038,117.9921528,0.019804089,0.910899878,0.91,0.016818047,0.02,0.93,0.241202266,6,6,6,2,2,"8,12,14,18,19,24"
100%,117.2010616,117.071123,117.2010614,118.9643186,0.015044721,1.613730192,1.61,0.008032084,0.01,1.62,0.214882037,6,6,6,2,2,"2,4,9,12,14,19"
101%,116.1697858,115.5909024,116.1697856,118.5919407,0.02085013,0.752772093,0.75,0.029089928,0.03,0.78,0.228470066,6,6,6,2,2,"7,8,10,14,15,16"
99%,116.2426488,117.6840214,116.2426485,119.5732094,0.028651798,3.491946936,3.49,0.024635077,0.02,3.51,0.336558088,6,7,7,2,2,"2,6,8,9,15,25"
99%,116.4298117,117.4182333,116.4298115,119.3849099,0.025380943,0.307691097,0.31,0.009711981,0.01,0.32,0.244016439,6,6,6,2,2,"2,6,7,9,19,24"
98%,113.4528962,115.9586003,113.4528959,116.8095684,0.029586485,6.535274029,6.54,0.00637722,0.01,6.55,0.276974624,6,7,7,2,2,"9,14,15,17,19,24"
99%,115.8011798,117.4913783,115.8011796,118.8467305,0.026299827,2.405431986,2.41,0.010711908,0.01,2.42,0.262022489,6,6,6,2,2,"4,7,9,14,15,19"
101%,115.9684911,115.2645862,115.9684909,118.6565848,0.02317952,1.869348049,1.87,0.006814003,0.01,1.88,0.211972453,6,6,6,2,2,"2,7,10,12,14,22"
99%,115.2191817,116.353169,115.2191814,118.535271,0.028780708,1.817605972,1.82,0.020207882,0.02,1.84,0.302368927,6,7,7,2,2,"7,9,15,19,22,24"
101%,116.2407154,115.3376798,116.2407152,118.7156072,0.021291095,3.572513103,3.57,0.006150007,0.01,3.58,0.271411586,6,6,6,2,2,"2,7,10,17,24,25"
99%,115.7319199,117.1991464,115.7319196,119.1385438,0.029435477,1.840178967,1.84,0.013525009,0.01,1.85,0.271411586,6,6,7,2,2,"4,6,8,9,18,25"
100%,116.0599646,116.4449797,116.0599644,118.8248016,0.023822489,1.226941109,1.23,0.004137993,0,1.23,0.234408252,6,6,6,2,2,"2,4,9,10,14,18"
100%,115.6032964,115.4728754,115.603296,118.5560223,0.025541887,2.582732916,2.58,0.020211935,0.02,2.6,0.309162941,6,7,7,2,2,"7,10,15,16,22,25"
100%,116.514018,116.7211958,116.5140177,118.6297613,0.018158704,1.002541065,1,0.016185045,0.02,1.02,0.268816503,6,6,6,2,2,"7,9,10,12,16,24"
100%,116.3603809,116.8609974,116.3603807,119.0485468,0.023102074,0.086387873,0.09,0.019858122,0.02,0.11,0.197360321,6,6,6,2,2,"4,6,8,12,18,24"
100%,116.352056,116.3063709,116.3520557,119.0993163,0.023611621,1.916392803,1.92,0.006726027,0.01,1.93,0.268816503,6,6,6,2,2,"2,7,8,9,17,24"
99%,114.4473058,115.8747342,114.4473053,117.8514674,0.029744362,6.919543982,6.92,0.011876106,0.01,6.93,0.417031874,6,7,7,2,2,"4,7,14,15,18,25"
100%,116.0938925,116.5558419,116.0938922,118.8587415,0.023815631,0.264580011,0.26,0.015864134,0.02,0.28,0.295136732,6,6,6,2,2,"4,9,12,15,18,24"
100%,115.7330035,115.6199523,115.7330032,118.9078645,0.027432636,0.083599806,0.08,0.018481016,0.02,0.1,0.333333333,6,6,6,2,2,"2,4,10,18,24,25"
96%,112.7616343,117.078077,112.7616339,116.1440061,0.029995771,12.71402121,12.71,0.015079975,0.02,12.73,0.331284238,6,7,7,2,2,"4,8,9,15,16,19"
