total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.6463253,121.6463252,121.6463252,0,0.020494223,0.02,0.007555008,0.01,0.03,0.047140452,1,1,1,2,1,7
121.4990545,121.4990544,121.5229091,0.000196336,0.17472291,0.17,0.006669044,0.01,0.18,0.1,1,1,1,2,1,16
120.1788266,120.1788264,121.1410476,0.008006579,0.051471949,0.05,0.003962994,0,0.05,0.141421356,1,1,2,2,2,10
121.2774433,121.2774431,121.908693,0.005205006,0.051273108,0.05,0.021143913,0.02,0.07,0.188561808,1,1,2,2,2,2
120.8110633,120.8110631,121.4608828,0.00537881,0.051198959,0.05,0.004709005,0,0.05,0.188561808,1,1,2,2,2,8
121.3776955,121.3776954,121.3776954,0,0.019927025,0.02,0.004786015,0,0.02,0.074535599,1,1,1,2,1,12
121.096299,121.0962988,121.7347748,0.005272465,0.05104804,0.05,0.003106117,0,0.05,0.166666667,1,1,2,2,2,4
121.0968048,121.0968046,121.0968046,0,0.019481897,0.02,0.004688025,0,0.02,0.141421356,1,1,1,2,1,19
121.5021564,121.5021563,121.5021563,0,0.020238876,0.02,0.015418053,0.02,0.04,0.149071198,1,1,1,2,1,15
121.1199285,121.1199284,121.1199284,0,0.02224803,0.02,0.006000996,0.01,0.03,0.105409255,1,1,1,2,1,17
121.3962394,121.3962394,121.754014,0.002947163,0.154539108,0.15,0.01297307,0.01,0.16,0.047140452,1,1,2,2,2,6
121.3747855,121.3747853,121.3747853,0,0.021121025,0.02,0.010273933,0.01,0.03,0.166666667,1,1,1,2,1,24
120.0739776,120.0739774,121.2763785,0.010013836,0.174504042,0.17,0.006023884,0.01,0.18,0.161659947,1,1,2,2,1,22
120.6027038,120.6027036,121.2759421,0.005582284,0.052113056,0.05,0.008767128,0.01,0.06,0.188561808,1,1,2,2,2,14
120.6027038,120.6027036,121.2759421,0.005582284,0.052180052,0.05,0.006890059,0.01,0.06,0.188561808,1,1,2,2,2,18
121.4614384,121.4614383,121.4614383,0,0.019880056,0.02,0.008673191,0.01,0.03,0.105409255,1,1,1,2,1,9
121.3702721,121.3702719,121.3702719,0,0.020929813,0.02,0.006700993,0.01,0.03,0.188561808,1,1,1,2,1,25
119.629547,119.6295469,120.9837919,0.011320322,0.086285114,0.09,0.002503872,0,0.09,0.14294152,2,2,3,2,2,"8,16"
120.6101272,120.610127,120.610127,0,0.068666935,0.07,0.008362055,0.01,0.08,0.120185043,2,2,2,2,2,"12,14"
120.8509504,120.8509503,121.6434677,0.006557809,0.167848825,0.17,0.022300005,0.02,0.19,0.14294152,2,2,3,2,2,"2,4"
121.1396028,121.1396027,121.1396027,0,0.02037096,0.02,0.007282019,0.01,0.03,0.120185043,2,2,2,2,2,"2,14"
