total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.6463253,121.6463252,121.6463252,0,0.021178961,0.02,0.010482073,0.01,0.03,0.047140452,1,1,1,2,1,7
119.9922625,119.9922624,121.5229091,0.012756212,0.091439962,0.09,0.006677151,0.01,0.1,0.14294152,1,1,2,2,1,16
120.4568072,120.4568071,121.1410476,0.005680381,0.051373005,0.05,0.006721973,0.01,0.06,0.166666667,1,1,2,2,2,10
121.2774433,121.2774431,121.908693,0.005205006,0.051612139,0.05,0.014132977,0.01,0.06,0.188561808,1,1,2,2,2,2
121.4407911,121.4407911,121.4407911,0,0.021183014,0.02,0.005620003,0.01,0.03,0.074535599,1,1,1,2,1,8
121.3776955,121.3776954,121.3776954,0,0.021092892,0.02,0.004285097,0,0.02,0.074535599,1,1,1,2,1,12
121.0917856,121.0917855,121.7347748,0.005309933,0.051333904,0.05,0.008321047,0.01,0.06,0.188561808,1,1,2,2,2,4
121.0968048,121.0968046,121.0968046,0,0.019323111,0.02,0.006244898,0.01,0.03,0.141421356,1,1,1,2,1,19
120.8724285,120.8724283,121.5366895,0.005495556,0.052062035,0.05,0.003885031,0,0.05,0.188561808,1,1,2,2,2,15
121.1199285,121.1199284,121.1199284,0,0.021139145,0.02,0.005650043,0.01,0.03,0.105409255,1,1,1,2,1,17
120.5869448,120.5869447,121.754014,0.009678239,0.173413038,0.17,0.026376009,0.03,0.2,0.101074918,1,1,2,2,1,6
121.3747855,121.3747853,121.3747853,0,0.051379919,0.05,0.022967815,0.02,0.07,0.166666667,1,1,1,2,1,24
119.0632951,119.063295,121.2763785,0.018587454,0.089621067,0.09,0.012063026,0.01,0.1,0.18226108,1,1,2,2,1,22
121.2324317,121.2324315,121.2324315,0,0.020099878,0.02,0.003093004,0,0.02,0.120185043,1,1,1,2,1,14
121.2324317,121.2324315,121.2324315,0,0.021126986,0.02,0.006049156,0.01,0.03,0.120185043,1,1,1,2,1,18
121.4614384,121.4614383,121.4614383,0,0.021373987,0.02,0.003365993,0,0.02,0.105409255,1,1,1,2,1,9
121.3702721,121.3702719,121.3702719,0,0.186989069,0.19,0.006385803,0.01,0.2,0.188561808,1,1,1,2,1,25
119.4231462,119.423146,120.9837919,0.013068203,0.104962111,0.11,0.00369215,0,0.11,0.163542653,2,2,3,2,2,"8,16"
120.6101272,120.610127,120.610127,0,0.068736076,0.07,0.020493031,0.02,0.09,0.120185043,2,2,2,2,2,"12,14"
120.1199734,120.1199732,121.6434677,0.012683107,0.212455034,0.21,0.028916121,0.03,0.24,0.14294152,2,2,4,2,2,"2,4"
121.1396028,121.1396027,121.1396027,0,0.055776834,0.06,0.007886171,0.01,0.07,0.120185043,2,2,2,2,2,"2,14"
120.6938701,120.69387,120.69387,0,0.068483114,0.07,0.016927004,0.02,0.09,0.120185043,2,2,2,2,2,"9,14"
121.1484817,121.1484815,121.1484815,0,0.020526171,0.02,0.019407034,0.02,0.04,0.149071198,2,2,2,2,2,"7,15"
120.7345881,120.7345879,120.7345879,0,0.020345926,0.02,0.004137993,0,0.02,0.149071198,2,2,2,2,2,"14,15"
