total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.6463253,121.6463252,121.6463252,0,0.024667025,0.02,0.010407925,0.01,0.03,0.047140452,1,1,1,2,1,7
121.4990545,121.4990544,121.4990544,0,0.049139977,0.05,0.005895853,0.01,0.06,0.1,1,1,1,2,1,16
120.4522939,120.4522937,121.1410476,0.005718064,0.052052021,0.05,0.008437872,0.01,0.06,0.188561808,1,1,2,2,2,10
121.2774433,121.2774431,121.908693,0.005205006,0.053159952,0.05,0.006461859,0.01,0.06,0.188561808,1,1,2,2,2,2
121.4407911,121.4407911,121.4407911,0,0.021323919,0.02,0.003614902,0,0.02,0.074535599,1,1,1,2,1,8
121.3776955,121.3776954,121.3776954,0,0.0209589,0.02,0.00251317,0,0.02,0.074535599,1,1,1,2,1,12
121.0917856,121.0917855,121.7347748,0.005309933,0.051516056,0.05,0.003957987,0,0.05,0.188561808,1,1,2,2,2,4
121.0968048,121.0968046,121.0968046,0,0.019585848,0.02,0.004850864,0.01,0.03,0.141421356,1,1,1,2,1,19
120.8724285,120.8724283,121.5366895,0.005495556,0.052051783,0.05,0.005446911,0.01,0.06,0.188561808,1,1,2,2,2,15
121.1199285,121.1199284,121.1199284,0,0.020081043,0.02,0.02148509,0.02,0.04,0.105409255,1,1,1,2,1,17
121.3962394,121.3962394,121.754014,0.002947163,0.141749144,0.14,0.017165899,0.02,0.16,0.047140452,1,1,2,2,2,6
120.534661,120.5346607,121.4228789,0.007368986,0.051028013,0.05,0.014955997,0.02,0.07,0.278644833,1,1,1,2,1,24
121.2266523,121.2266522,121.2266522,0,0.020817041,0.02,0.002825022,0,0.02,0.137436854,1,1,1,2,1,22
121.2324317,121.2324315,121.2324315,0,0.020037889,0.02,0.009010077,0.01,0.03,0.120185043,1,1,1,2,1,14
121.2324317,121.2324315,121.2324315,0,0.020862818,0.02,0.004420042,0,0.02,0.120185043,1,1,1,2,1,18
121.4614384,121.4614383,121.4614383,0,0.021272898,0.02,0.005801916,0.01,0.03,0.105409255,1,1,1,2,1,9
119.7650113,119.765011,121.4245281,0.013856444,0.091423035,0.09,0.00248313,0,0.09,0.257667499,1,2,2,2,2,25
120.9398457,120.9398456,120.9398456,0,0.173820019,0.17,0.00483799,0,0.17,0.1,2,2,2,2,2,"8,16"
120.6101272,120.610127,120.610127,0,0.019273996,0.02,0.005777121,0.01,0.03,0.120185043,2,2,2,2,2,"12,14"
120.8509504,120.8509503,121.6434677,0.006557809,0.171319008,0.17,0.021099091,0.02,0.19,0.14294152,2,2,3,2,2,"2,4"
121.1396028,121.1396027,121.1396027,0,0.054801941,0.05,0.003953934,0,0.05,0.120185043,2,2,2,2,2,"2,14"
120.6938701,120.69387,120.69387,0,0.089683056,0.09,0.0025599,0,0.09,0.120185043,2,2,2,2,2,"9,14"
121.1484817,121.1484815,121.1484815,0,0.021708012,0.02,0.007452011,0.01,0.03,0.149071198,2,2,2,2,2,"7,15"
120.7345881,120.7345879,120.7345879,0,0.019436121,0.02,0.020474195,0.02,0.04,0.149071198,2,2,2,2,2,"14,15"
117.8512978,117.8512975,121.0789976,0.027387905,0.098484039,0.1,0.041076899,0.04,0.14,0.227614237,2,2,3,2,2,"7,25"
120.8110633,120.8110631,120.8110631,0,0.021317005,0.02,0.007260084,0.01,0.03,0.188561808,2,2,2,2,2,"8,25"
120.9539452,120.9539451,120.9539451,0,0.053092957,0.05,0.004370213,0,0.05,0.120185043,2,2,2,2,2,"4,18"
121.4714277,121.4714276,121.4714276,0,0.052510977,0.05,0.018505812,0.02,0.07,0.1,2,2,2,2,2,"4,6"
120.9765665,120.9765664,120.9765664,0,0.068284988,0.07,0.015518904,0.02,0.09,0.137436854,2,2,2,2,2,"6,22"
117.3747855,117.3747853,120.847407,0.029585756,0.086746931,0.09,0.005262852,0.01,0.1,0.166666667,2,2,1,2,1,"24,25"
