total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.0820218,121.0820216,121.0820216,0,0.223078012,0.22,0.137436854,1,1,1,4,1,10
121.0968048,121.0968046,121.15631,0.000491386,2.24860096,2.25,0.141421356,1,1,1,4,1,19
121.7215135,121.7215134,121.7347015,0.000108347,2.532871008,2.53,0.1,1,1,1,4,1,4
121.2266523,121.2266522,121.2266522,0,0.217581987,0.22,0.137436854,1,1,1,4,1,22
121.2324317,121.2324315,121.2324315,0,0.221652985,0.22,0.120185043,1,1,1,4,1,18
121.4614384,121.4614383,121.4614383,0,0.216500044,0.22,0.105409255,1,1,1,4,1,9
121.2324317,121.2324315,121.2758377,0.000358041,2.155332088,2.16,0.120185043,1,1,1,4,1,14
121.9071712,121.9071711,121.9071711,0,0.214981794,0.22,0.033333333,1,1,1,4,1,2
121.3776955,121.3776954,121.3776954,0,0.22051096,0.22,0.074535599,1,1,1,4,1,12
121.3747855,121.3747853,121.3747853,0,0.211936951,0.21,0.166666667,1,1,1,4,1,24
121.6463253,121.6463252,121.6463252,0,0.220863104,0.22,0.047140452,1,1,1,4,1,7
121.3702721,121.3702719,121.3702719,0,0.215757132,0.22,0.188561808,1,1,1,4,1,25
121.5021564,121.5021563,121.5021563,0,0.223253965,0.22,0.149071198,1,1,1,4,1,15
121.7499142,121.7499142,121.7499142,0,0.214387894,0.21,0.033333333,1,1,1,4,1,6
121.4407911,121.4407911,121.4407911,0,0.21469903,0.21,0.074535599,1,1,1,4,1,8
121.4990545,121.4990544,121.5228358,0.000195733,2.449466944,2.45,0.1,1,1,1,4,1,16
121.1199285,121.1199284,121.1199284,0,0.21585083,0.22,0.105409255,1,1,1,4,1,17
120.8787569,120.8787568,120.8787568,0,0.228083849,0.23,0.120185043,2,2,2,4,2,"7,18"
120.9429475,120.9429474,120.9429474,0,0.22341609,0.22,0.149071198,2,2,2,4,2,"8,15"
120.4648633,120.4648632,120.4648632,0,0.221391916,0.22,0.120185043,2,2,2,4,2,"14,18"
121.1338235,121.1338234,121.1850714,0.00042307,2.47973299,2.48,0.137436854,2,2,2,4,2,"2,22"
121.1276097,121.1276096,121.1276096,0,0.223182201,0.22,0.074535599,2,2,2,4,2,"6,12"
120.728347,120.7283469,120.7283469,0,0.218520164,0.22,0.137436854,2,2,2,4,2,"7,10"
121.1246997,121.1246995,121.1246995,0,0.215945005,0.22,0.166666667,2,2,2,4,2,"6,24"
120.8362239,120.8362237,120.8362237,0,0.215065956,0.22,0.166666667,2,2,2,4,2,"9,24"
120.3407596,120.3407594,121.0107169,0.00556717,0.366142988,0.37,0.210092521,2,2,2,4,1,"4,14"
121.4714277,121.4714276,121.4887887,0.000142924,2.471021891,2.47,0.1,2,2,2,4,2,"4,6"
121.1907053,121.1907052,121.1907052,0,0.218925953,0.22,0.074535599,2,2,2,4,2,"6,8"
120.3234571,120.323457,120.4328311,0.000909001,2.12758112,2.13,0.141421356,2,2,2,4,2,"19,22"
119.4554322,119.455432,121.1593029,0.014263653,4.011512041,4.01,0.21769621,2,2,4,4,3,"4,25"
117.6586919,117.6586916,120.5655758,0.024706072,2.678000927,2.68,0.247407583,2,3,5,4,3,"10,25"
121.3479623,121.3479622,121.3479622,0,0.21862793,0.22,0.074535599,2,2,2,4,2,"2,8"
120.9635948,120.9635947,120.9635947,0,0.22656703,0.23,0.149071198,2,2,2,4,2,"9,15"
121.096299,121.0962988,121.0962988,0,0.218199015,0.22,0.166666667,2,2,2,4,2,"4,24"
120.3292364,120.3292363,120.3292363,0,0.231446981,0.23,0.141421356,2,2,2,4,2,"18,19"
120.6072171,120.607217,120.607217,0,0.22604394,0.23,0.166666667,2,2,2,4,2,"18,24"
120.7479676,120.7479674,120.7479674,0,0.224910021,0.23,0.188561808,2,2,2,4,2,"12,25"
120.9942876,120.9942875,121.0240453,0.000245944,2.398257971,2.4,0.074535599,3,3,3,4,3,"2,7,8"
120.0377156,120.0377154,120.0377154,0,0.231668949,0.23,0.188561808,3,3,3,4,3,"8,22,25"
121.1277392,121.1277391,121.1663768,0.000318983,2.490103006,2.49,0.1,3,3,3,4,3,"2,4,16"
119.9803993,119.9803991,120.1005244,0.001001208,2.177232981,2.18,0.188561808,3,3,3,4,3,"12,14,25"
120.2147775,120.2147774,120.3058982,0.000757983,2.148382902,2.15,0.120185043,3,3,3,4,3,"6,14,18"
119.7300557,119.7300556,119.7300556,0,0.237205982,0.24,0.120185043,3,3,3,4,3,"12,17,18"
119.7642483,119.7642481,119.8937139,0.001081005,2.187376022,2.19,0.141421356,3,3,3,4,3,"8,19,22"
120.2446282,120.244628,120.340883,0.000800493,2.395026922,2.4,0.166666667,3,3,3,4,3,"6,17,24"
120.1858487,120.1858485,120.3082899,0.001018767,3.544800997,3.54,0.188561808,3,3,3,4,3,"8,24,25"
120.6417592,120.6417591,120.7213246,0.000659519,3.572613001,3.57,0.149071198,3,3,3,4,3,"2,15,18"
119.8975984,119.8975982,120.0248094,0.001060998,2.398712873,2.4,0.166666667,3,3,3,4,3,"8,10,24"
118.0057986,118.0057984,120.9632166,0.025061635,2.332986116,2.33,0.222497973,3,3,5,4,3,"2,7,12"
120.2797567,120.2797566,120.3796294,0.000830338,2.163709879,2.16,0.141421356,3,3,3,4,3,"4,9,19"
120.6521437,120.6521436,120.7032988,0.000423989,2.378262043,2.38,0.105409255,3,3,3,4,3,"6,8,9"
119.6892389,119.6892387,119.8398687,0.001258508,2.390343904,2.39,0.166666667,3,3,3,4,3,"10,14,24"
119.9000773,119.9000772,120.8395409,0.007835389,2.564596891,2.56,0.137436854,3,3,4,4,4,"2,7,22"
118.5787533,118.5787531,120.2735145,0.014292285,2.461669207,2.46,0.185091521,3,3,4,4,3,"8,15,18"
116.87384,116.8738399,120.3703161,0.029916671,4.065213919,4.07,0.166666667,3,3,2,4,2,"16,24,25"
120.8462132,120.846213,120.9116676,0.000541636,2.39684391,2.4,0.166666667,3,3,3,4,3,"4,6,24"
120.2364076,120.2364075,120.3410877,0.00087062,2.151053905,2.15,0.141421356,3,3,3,4,3,"2,18,19"
119.5864997,119.5864995,119.7461719,0.001335205,2.411352873,2.41,0.188561808,4,4,4,4,4,"4,17,24,25"
119.7788113,119.7788111,119.9025385,0.001032965,2.205083132,2.21,0.141421356,4,4,4,4,4,"4,9,16,19"
118.6764506,118.6764505,118.8615445,0.001559653,2.444939137,2.45,0.141421356,4,4,4,4,4,"10,12,17,19"
119.2897294,119.2897293,119.2897293,0,0.23229003,0.23,0.141421356,4,4,4,4,4,"9,16,18,19"
119.0807072,119.0807071,119.2354494,0.001299474,2.157968998,2.16,0.137436854,4,4,4,4,4,"7,10,17,18"
118.8156877,118.8156874,119.3997276,0.004915514,4.207934141,4.21,0.246719929,4,4,4,4,3,"18,22,24,25"
117.7643834,117.7643832,119.7738672,0.017063597,3.091485977,3.09,0.246719929,4,5,6,4,4,"8,9,12,25"
119.8159251,119.815925,119.9284203,0.000938901,2.421629906,2.42,0.149071198,4,4,4,4,4,"7,8,15,22"
118.9685965,118.9685963,120.8583645,0.015884597,3.781124115,3.78,0.201074918,4,4,5,4,4,"2,4,6,8"
120.0811071,120.081107,120.6877985,0.005052347,2.396708012,2.4,0.149071198,4,4,4,4,3,"2,6,9,15"
119.498835,119.4988349,119.6236429,0.001044429,4.629608154,4.63,0.149071198,4,4,4,4,4,"12,15,16,17"
119.8684116,119.8684114,119.9977031,0.001078613,3.565500975,3.57,0.149071198,4,4,4,4,4,"2,15,18,22"
117.909022,117.9090218,119.3182421,0.011951759,2.159556866,2.16,0.246332665,4,4,4,4,3,"8,19,22,25"
120.6476218,120.6476217,121.0519512,0.003351326,3.550100088,3.55,0.101074918,4,4,4,4,3,"2,4,6,7"
118.7831744,118.7831743,118.9739329,0.00160594,2.169761896,2.17,0.141421356,4,4,4,4,4,"10,12,19,22"
119.1535874,119.1535872,119.3054459,0.001274479,2.401829958,2.4,0.137436854,4,4,4,4,4,"9,10,12,18"
119.3689576,119.3689574,119.5189299,0.001256378,2.170889139,2.17,0.188561808,4,4,4,4,4,"7,17,18,25"
119.9661417,119.9661416,120.0756578,0.000912893,2.170550108,2.17,0.166666667,4,4,4,4,4,"4,6,17,24"
118.6893181,118.6893178,119.8232596,0.009553866,0.800395966,0.8,0.27658736,4,4,4,4,3,"4,10,16,25"
119.486817,119.4868169,119.4868169,0,0.227728128,0.23,0.137436854,4,4,4,4,4,"2,10,12,17"
118.7451019,118.7451017,119.099727,0.002986441,3.574754,3.57,0.174535599,5,5,5,4,4,"4,14,15,18,22"
115.6023902,115.60239,119.0207441,0.029569926,3.187281847,3.19,0.199535599,5,7,7,4,4,"7,8,9,10,14"
119.4035169,119.4035167,119.6186672,0.001801877,2.432461977,2.43,0.174535599,5,5,5,4,4,"2,4,14,22,24"
119.4704576,119.4704575,119.6496301,0.001499723,2.203781843,2.2,0.174535599,5,5,5,4,4,"2,6,12,17,24"
118.1315106,118.1315104,118.7194901,0.004977331,2.167484999,2.17,0.171040092,5,5,5,4,4,"4,14,18,19,22"
118.3769748,118.3769746,118.6679341,0.002457906,4.57049489,4.57,0.188561808,5,5,5,4,4,"12,16,17,19,25"
118.9467865,118.9467864,119.1852318,0.002004639,2.179733038,2.18,0.174535599,5,5,5,4,4,"8,9,15,22,24"
118.8589788,118.8589786,119.2462563,0.003258296,2.440834999,2.44,0.188561808,5,5,5,4,4,"4,12,16,17,25"
119.3041075,119.3041073,119.450347,0.001225773,2.41602397,2.42,0.188561808,5,5,5,4,4,"6,7,8,19,25"
118.4108541,118.4108539,118.7585138,0.002936047,2.165473938,2.17,0.141421356,5,5,5,4,4,"2,10,18,19,22"
119.7835668,119.7835667,119.9548028,0.001429546,2.452684879,2.45,0.174535599,5,5,5,4,4,"2,4,9,12,24"
116.7165014,116.7165012,119.3023053,0.022154572,2.376690865,2.38,0.188561808,5,5,7,4,4,"2,15,18,19,25"
